Unnamed: 0,iso_code,continent,country,total_cases,total_deaths,median_age,population,area,Density,netmigraration,morality,GDP
70,FJI,Oceania,Fiji,49.0,2.0,28.6,929769.0,18270,"49,6","-3,14","12,62",5800.0
71,FIN,Europe,Finland,36172.0,587.0,42.8,5540745.0,338145,"15,5","0,95","3,57",27400.0
72,FRA,Europe,France,2564972.0,64004.0,42.0,67813000.0,547030,"111,3","0,66","4,26",27600.0
73,GUF,South America,French Guiana,13045.0,71.0,25.3,304568.0,91000,"2,2","6,27","12,07",8300.0
74,PYF,Oceania,French Polynesia,16851.0,114.0,32.7,306292.0,4167,"65,9","2,94","8,44",17500.0
75,GAB,Africa,Gabon,9571.0,64.0,23.1,2388997.0,267667,"5,3",0,"53,64",5500.0
77,GEO,Asia,Georgia,227420.0,2505.0,38.7,3744385.0,69700,"66,9","-4,7","18,59",2500.0
78,DEU,Europe,Germany,1734483.0,50445.0,46.6,83369840.0,357021,"230,9","2,18","4,16",27600.0
79,GHA,Africa,Ghana,55064.0,335.0,21.1,33475870.0,239460,"93,6","-0,64","51,43",2200.0
80,GIB,Europe,Gibraltar,1785.0,6.0,42.2,32677.0,7,"3989,7",0,"5,13",17500.0
81,GRC,Europe,Greece,137918.0,4788.0,45.3,10384972.0,131940,"81,0","2,35","5,53",20000.0
82,GRL,North America,Greenland,27.0,27.0,0.0,56494.0,2166086,"0,0","-8,37","15,82",20000.0
83,GRD,North America,Grenada,128.0,0.0,29.4,125459.0,344,"260,8","-13,92","14,62",5000.0
84,GLP,North America,Guadeloupe,8620.0,155.0,43.4,395762.0,1780,"254,4","-0,15","8,6",8000.0
85,GUM,Oceania,Guam,7129.0,121.0,31.4,171783.0,541,"316,1",0,"6,94",21000.0
86,GTM,North America,Guatemala,137166.0,4803.0,22.9,17843914.0,108890,"112,9","-1,67","35,93",4100.0
87,GGY,Europe,Guernsey,298.0,16.0,39.3,63329.0,78,"838,6","3,84","4,71",20000.0
88,GIN,Africa,Guinea,13722.0,81.0,19.0,13859349.0,245857,"39,4","-3,06","90,37",2100.0
89,GNB,Africa,Guinea-Bissau,2452.0,45.0,19.4,2105580.0,36120,"39,9","-1,57","107,17",800.0
90,GUY,South America,Guyana,6301.0,164.0,26.3,808727.0,214970,"3,6","-2,07","33,26",4000.0
91,HTI,North America,Haiti,9999.0,236.0,24.3,11585003.0,27750,"299,4","-3,4","73,45",1600.0
92,HND,North America,Honduras,120912.0,3111.0,24.9,10432858.0,112090,"65,4","-1,99","29,32",2600.0
93,HKG,Asia,Hong Kong,1000,143,44.8,7488863.0,1092,"6355,7","5,24","2,97",28800.0
94,HUN,Europe,Hungary,322514.0,9537.0,43.4,9967304.0,93030,"107,3","0,86","8,57",13900.0
95,ISL,Europe,Iceland,5247.0,30.0,37.3,372903.0,103000,"2,9","2,38","3,31",30900.0
96,IND,Asia,India,10266674.0,148738.0,28.2,1417173120.0,3287590,"333,2","-0,07","56,29",2900.0
97,IDN,Asia,Indonesia,743198.0,22138.0,29.3,275501344.0,1919440,"127,9",0,"35,6",3200.0
98,IRN,Asia,Iran,1212481.0,54946.0,32.4,88550568.0,1648000,"41,7","-0,84","41,58",7000.0
99,IRQ,Asia,Iraq,593541.0,12800.0,20.0,44496124.0,437072,"61,3",0,"50,25",1500.0
100,IRL,Europe,Ireland,89517.0,2264.0,38.7,5023108.0,70280,"57,8","4,99","5,39",29600.0
101,IMN,Europe,Isle of Man,379.0,35.0,43.0,84534.0,572,"131,9","5,36","5,93",21000.0
102,ISR,Asia,Israel,419661.0,3336.0,30.6,9449000.0,20770,"305,8","0,68","7,03",19800.0
103,ITA,Europe,Italy,2083689.0,73604.0,47.9,59037472.0,301230,"193,0","2,07","5,94",26700.0
104,JAM,North America,Jamaica,12793.0,302.0,31.4,2827382.0,10991,"250,9","-4,92","12,36",3900.0
105,JPN,Asia,Japan,230304.0,3414.0,48.2,123951696.0,377835,"337,4",0,"3,26",28200.0
106,JEY,Europe,Jersey,2727.0,42.0,37.5,110796.0,116,"785,2","2,76","5,24",24800.0
107,JOR,Asia,Jordan,291393.0,3801.0,23.2,11285875.0,92300,"64,0","6,59","17,35",4300.0
108,KAZ,Asia,Kazakhstan,200443.0,2749.0,30.6,19397998.0,2717300,"5,6","-3,35","29,21",6300.0
109,KEN,Africa,Kenya,96251.0,1667.0,20.0,54027484.0,582650,"59,6","-0,1","61,47",1000.0
110,KIR,Oceania,Kiribati,0.0,0.0,23.2,131237.0,811,"130,0",0,"48,52",800.0
112,KWT,Asia,Kuwait,150093.0,932.0,33.7,4268886.0,17820,"135,7","14,18","9,95",19000.0
113,KGZ,Asia,Kyrgyzstan,81034.0,1355.0,26.3,6630621.0,198500,"26,3","-2,45","35,64",1600.0
114,LAO,Asia,Laos,41.0,0.0,24.4,7529477.0,236800,"26,9",0,"85,22",1700.0
115,LVA,Europe,Latvia,40904.0,635.0,43.9,1850654.0,64589,"35,2","-2,23","9,55",10200.0
116,LBN,Asia,Lebanon,175118.0,1430.0,31.1,5489744.0,10400,"372,5",0,"24,52",4800.0
117,LSO,Africa,Lesotho,2577.0,64.0,22.2,2305826.0,30355,"66,6","-0,74","84,23",3000.0
118,LBR,Africa,Liberia,1854.0,89.0,19.2,5302690.0,111370,"27,3",0,"128,87",1000.0
119,LBY,Africa,Libya,99935.0,1459.0,29.0,6812344.0,1759540,"3,4",0,"24,6",6400.0
120,LIE,Europe,Liechtenstein,2223.0,44.0,43.7,39355.0,160,"212,4","4,85","4,7",25000.0
121,LTU,Europe,Lithuania,145051.0,1800.0,43.5,2750058.0,65200,"55,0","-0,71","6,89",11400.0
122,LUX,Europe,Luxembourg,46334.0,502.0,39.7,647601.0,2586,"183,5","8,97","4,81",55100.0
123,MDG,Africa,Madagascar,17714.0,261.0,19.6,29611718.0,587040,"31,7",0,"76,83",800.0
124,MWI,Africa,Malawi,6471.0,189.0,18.1,20405318.0,118480,"109,8",0,"103,32",600.0
125,MYS,Asia,Malaysia,110485.0,463.0,29.9,33938216.0,329750,"74,0",0,"17,7",9000.0
126,MDV,Asia,Maldives,13757.0,48.0,30.6,523798.0,300,"1196,7",0,"56,52",3900.0
127,MLI,Africa,Mali,7029.0,269.0,16.4,22593598.0,1240000,"9,5","-0,33","116,79",900.0
128,MLT,Europe,Malta,12774.0,219.0,42.4,533293.0,316,"1266,5","2,07","3,89",17700.0
129,MHL,Oceania,Marshall Islands,4.0,0.0,25.5,41593.0,11854,"5,1","-6,04","29,45",1600.0
130,MTQ,North America,Martinique,6072.0,42.0,45.7,367512.0,1100,"396,5","-0,05","7,09",14400.0
131,MRT,Africa,Mauritania,14191.0,340.0,20.3,4736146.0,1030700,"3,1",0,"70,89",1800.0
